,AccessionYear,Gender,Exposed,count
237,1974,F,False,6
238,1974,M,False,40
239,1974,M,True,1
240,1974,Unknown,False,6
241,1975,F,False,3
242,1975,M,False,54
243,1975,Unknown,False,6
244,1976,F,False,10
245,1976,F,True,2
246,1976,M,False,119
247,1976,M,True,1
248,1976,Unknown,False,19
249,1977,F,False,23
250,1977,M,False,29
251,1977,M,True,6
252,1977,Unknown,False,17
253,1978,F,False,43
254,1978,M,False,138
255,1978,M,True,1
256,1978,Unknown,False,23
257,1979,F,False,28
258,1979,M,False,995
259,1979,M,True,3
260,1979,Unknown,False,18
261,1979,Unknown,True,1
262,1980,F,False,36
263,1980,M,False,107
264,1980,M,True,1
265,1980,Unknown,False,30
266,1981,F,False,45
267,1981,F,True,1
268,1981,M,False,136
269,1981,M,True,4
270,1981,Unknown,False,6
271,1981,Unknown,True,1
272,1982,F,False,34
273,1982,F,True,3
274,1982,M,False,144
275,1982,M,True,10
276,1982,Unknown,False,12
277,1983,F,False,62
278,1983,F,True,2
279,1983,M,False,297
280,1983,M,True,4
281,1983,Unknown,False,16
282,1984,F,False,135
283,1984,F,True,1
284,1984,M,False,618
285,1984,M,True,11
286,1984,Unknown,False,170
287,1985,F,False,235
288,1985,F,True,1
289,1985,M,False,158
290,1985,Unknown,False,102
291,1985,Unknown,True,1
292,1986,F,False,71
293,1986,F,True,2
294,1986,M,False,225
295,1986,M,True,1
296,1986,Unknown,False,34
297,1986,Unknown,True,4
298,1987,F,False,31
299,1987,F,True,3
300,1987,M,False,185
301,1987,M,True,3
302,1987,Unknown,False,34
303,1988,F,False,59
304,1988,M,False,197
305,1988,M,True,2
306,1988,Unknown,False,30
307,1989,F,False,34
308,1989,M,False,62
309,1989,M,True,2
310,1989,Unknown,False,12
311,1990,F,False,31
312,1990,M,False,220
313,1990,M,True,5
314,1990,Unknown,False,67
315,1991,F,False,50
316,1991,M,False,179
317,1991,M,True,1
318,1991,Unknown,False,11
319,1992,F,False,28
320,1992,M,False,194
321,1992,M,True,2
322,1992,Unknown,False,56
323,1993,F,False,25
324,1993,M,False,102
325,1993,M,True,1
326,1993,Unknown,False,29
327,1994,F,False,52
328,1994,M,False,83
329,1994,Unknown,False,48
330,1995,F,False,21
331,1995,F,True,1
332,1995,M,False,127
333,1995,M,True,2
334,1995,Unknown,False,11
335,1995,Unknown,True,1
336,1996,F,False,21
337,1996,F,True,1
338,1996,M,False,82
339,1996,M,True,7
340,1996,Unknown,False,12
341,1997,F,False,44
342,1997,F,True,1
343,1997,M,False,140
344,1997,M,True,6
345,1997,Unknown,False,8
346,1998,F,False,18
347,1998,F,True,3
348,1998,M,False,143
349,1998,M,True,9
350,1998,Unknown,False,14
351,1998,Unknown,True,4
352,1999,F,False,49
353,1999,F,True,2
354,1999,M,False,394
355,1999,M,True,12
356,1999,Unknown,False,28
357,2000,F,False,27
358,2000,F,True,1
359,2000,M,False,179
360,2000,M,True,24
361,2000,Unknown,False,13
362,2000,Unknown,True,1
363,2001,F,False,88
364,2001,F,True,1
365,2001,M,False,199
366,2001,M,True,5
367,2001,Unknown,False,7
368,2002,F,False,55
369,2002,F,True,2
370,2002,M,False,206
371,2002,M,True,6
372,2002,Unknown,False,31
373,2002,Unknown,True,4
374,2003,F,False,26
375,2003,M,False,224
376,2003,M,True,5
377,2003,Unknown,False,14
378,2004,F,False,5
379,2004,M,False,37
380,2004,M,True,1
381,2004,Unknown,False,12
382,2005,F,False,12
383,2005,M,False,33
384,2005,Unknown,False,15
385,2006,F,False,6
386,2006,F,True,3
387,2006,M,False,73
388,2006,M,True,1
389,2006,Unknown,False,11
390,2006,Unknown,True,1
391,2007,F,False,50
392,2007,F,True,1
393,2007,M,False,137
394,2007,M,True,3
395,2007,Unknown,False,22
396,2008,F,False,16
397,2008,F,True,1
398,2008,M,False,28
399,2008,M,True,3
400,2008,Unknown,False,3
401,2009,F,False,33
402,2009,F,True,1
403,2009,M,False,23
404,2009,Unknown,False,3
405,2010,F,False,7
406,2010,M,False,61
407,2010,M,True,1
408,2010,Unknown,False,10
409,2010,Unknown,True,2
410,2011,F,False,11
411,2011,M,False,24
412,2011,M,True,1
413,2011,Unknown,False,5
414,2012,F,False,9
415,2012,M,False,30
416,2012,M,True,1
417,2012,Unknown,False,3
418,2013,F,False,19
419,2013,F,True,1
420,2013,M,False,86
421,2013,M,True,2
422,2013,Unknown,False,18
423,2014,F,False,42
424,2014,M,False,91
425,2014,M,True,2
426,2014,Unknown,False,46
427,2014,Unknown,True,1
428,2015,F,False,36
429,2015,F,True,3
430,2015,M,False,45
431,2015,M,True,3
432,2015,Unknown,False,4
433,2015,Unknown,True,1
434,2016,F,False,51
435,2016,F,True,2
436,2016,M,False,179
437,2016,M,True,3
438,2016,Unknown,False,28
439,2017,F,False,29
440,2017,F,True,2
441,2017,M,False,155
442,2017,M,True,5
443,2017,Unknown,False,19
444,2017,Unknown,True,2
445,2018,F,False,17
446,2018,F,True,7
447,2018,M,False,45
448,2018,M,True,8
449,2018,Unknown,False,55
450,2019,F,False,11
451,2019,F,True,1
452,2019,M,False,84
453,2019,M,True,4
454,2019,Unknown,False,7
455,2020,F,False,37
456,2020,F,True,5
457,2020,M,False,60
458,2020,M,True,7
459,2020,Unknown,False,12
460,2021,F,False,44
461,2021,F,True,2
462,2021,M,False,127
463,2021,M,True,16
464,2021,Unknown,False,20
465,2021,Unknown,True,12
466,2022,F,False,16
467,2022,F,True,1
468,2022,M,False,31
469,2022,M,True,3
470,2022,Unknown,False,4
471,2022,Unknown,True,3
472,2023,F,False,4
473,2023,M,False,6
474,2023,M,True,1
475,2023,Unknown,False,6
